a	ə	[a:ə]
mennonite	ˈmenəˌnaɪt	ˈ[m:m|e:e].[nn:n|o:ə].ˌ[n:n|i:aɪ|te:t]
mennonites	ˈmenəˌnaɪts	ˈ[m:m|e:e].[nn:n|o:ə].ˌ[n:n|i:aɪ|te:t|s:s]
meno	ˈmeɪnoʊ	ˈ[m:m|e:eɪ].[n:n|o:oʊ]
menon	meɪˈnɔːn	[m:m|e:eɪ].ˈ[n:n|o:ɔː|n:n]
menopausal	ˌmenəˈpaʊzəl	ˌ[m:m|e:e].[n:n|o:ə].ˈ[p:p|au:aʊ].[s:z|a:ə|l:l]
menopause	ˈmenəˌpaʊz	ˈ[m:m|e:e].[n:n|o:ə].ˌ[p:p|au:aʊ|se:z]
menor	ˈmenər	ˈ[m:m|e:e].[n:n|or:ər]
menorah	məˈnɔːrə	[m:m|e:ə].ˈ[n:n|o:ɔː].[r:r|ah:ə]
menorah's	məˈnɔːrəz	[m:m|e:ə].ˈ[n:n|o:ɔː].[r:r|ah:ə|'s:z]
menorahs	məˈnɔːrəz	[m:m|e:ə].ˈ[n:n|o:ɔː].[r:r|ah:ə|s:z]
menotomy	mɪˈnɑːtɪmiː	[m:m|e:ɪ].ˈ[n:n|o:ɑː].[t:t|o:ɪ].[m:m|y:iː]
menotti	meˈnɔːˌtiː	[m:m|e:e].ˈ[n:n|o:ɔː].ˌ[tt:t|i:iː]
menoyo	məˈnɔɪoʊ	[m:m|e:ə].ˈ[n:n|oy:ɔɪ].[o:oʊ]
mens	ˈmenz	ˈ[m:m|e:e|n:n|s:z]
mensah	ˈmensə	ˈ[m:m|e:e|n:n].[s:s|ah:ə]
mensch	ˈmenʃ	ˈ[m:m|e:e|ns:n|ch:ʃ]
menschville	ˈmenʃvɪl	ˈ[m:m|e:e|ns:n|ch:ʃ].[v:v|i:ɪ|lle:l]
menser	ˈmensər	ˈ[m:m|e:e|n:n].[s:s|er:ər]
mensik	ˈmensɪk	ˈ[m:m|e:e|n:n].[s:s|i:ɪ|k:k]
mensing	ˈmensɪŋ	ˈ[m:m|e:e|n:n].[s:s|i:ɪ|ng:ŋ]
mensinger	ˈmensɪndʒər	ˈ[m:m|e:e|n:n].[s:s|i:ɪ|n:n].[g:dʒ|er:ər]
menstrual	ˈmenstruːəl	ˈ[m:m|e:e|n:n].[s:s|t:t|r:r|u:uː].[a:ə|l:l]
menstruate	ˈmenstruːˌeɪt	ˈ[m:m|e:e|n:n].[s:s|t:t|r:r|u:uː].ˌ[a:eɪ|te:t]
menstruation	ˌmenstruːˈeɪʃən	ˌ[m:m|e:e|n:n].[s:s|t:t|r:r|u:uː].ˈ[a:eɪ].[ti:ʃ|o:ə|n:n]
menswear	ˈmenzˌwer	ˈ[m:m|e:e|n:n|s:z].ˌ[w:w|ea:e|r:r]
mental	ˈmentəl	ˈ[m:m|e:e|n:n].[t:t|a:ə|l:l]
mentality	menˈtælətiː	[m:m|e:e|n:n].ˈ[t:t|a:æ].[l:l|i:ə].[t:t|y:iː]
mentally	ˈmentəliː	ˈ[m:m|e:e|n:n].[t:t|a:ə].[ll:l|y:iː]
mente	ˈment	ˈ[m:m|e:e|n:n|te:t]
mentel	meɪnˈtel	[m:m|e:eɪ|n:n].ˈ[t:t|e:e|l:l]
menter	ˈmentər	ˈ[m:m|e:e|n:n].[t:t|er:ər]
menthol	ˈmenθɔːl	ˈ[m:m|e:e|n:n].[th:θ|o:ɔː|l:l]
mentholatum	ˌmenθəˈleɪtəm	ˌ[m:m|e:e|n:n].[th:θ|o:ə].ˈ[l:l|a:eɪ].[t:t|u:ə|m:m]
mentink	ˈmentɪŋk	ˈ[m:m|e:e|n:n].[t:t|i:ɪ|n:ŋ|k:k]
mention	ˈmenʃən	ˈ[m:m|e:e|n:n].[ti:ʃ|o:ə|n:n]
mentioned	ˈmenʃənd	ˈ[m:m|e:e|n:n].[ti:ʃ|o:ə|n:n|ed:d]
mentioning	ˈmenʃənɪŋ	ˈ[m:m|e:e|n:n].[ti:ʃ|o:ə].[n:n|i:ɪ|ng:ŋ]
mentions	ˈmenʃənz	ˈ[m:m|e:e|n:n].[ti:ʃ|o:ə|n:n|s:z]
mento	ˈmentoʊ	ˈ[m:m|e:e|n:n].[t:t|o:oʊ]
menton	ˈmentən	ˈ[m:m|e:e|n:n].[t:t|o:ə|n:n]
mentor	ˈmenˌtɔːr	ˈ[m:m|e:e|n:n].ˌ[t:t|o:ɔː|r:r]
mentor's	ˈmenˌtɔːrz	ˈ[m:m|e:e|n:n].ˌ[t:t|o:ɔː|r:r|'s:z]
mentored	ˈmentərd	ˈ[m:m|e:e|n:n].[t:t|or:ər|ed:d]
mentoring	ˈmentərɪŋ	ˈ[m:m|e:e|n:n].[t:t|or:ər].[i:ɪ|ng:ŋ]
mentors	ˈmentərz	ˈ[m:m|e:e|n:n].[t:t|or:ər|s:z]
mentz	ˈments	ˈ[m:m|e:e|n:n|t:t|z:s]
mentzel	ˈmentzəl	ˈ[m:m|e:e|n:n|t:t].[ze:z|l:əl]
mentzer	ˈmentzər	ˈ[m:m|e:e|n:n|t:t].[z:z|er:ər]
menu	ˈmenjuː	ˈ[m:m|e:e].[n:n|u:juː]
menudo	məˈnjuːdoʊ	[m:m|e:ə].ˈ[n:n|u:juː].[d:d|o:oʊ]
menuhin	məˈnuːhɪn	[m:m|e:ə].ˈ[n:n|u:uː].[h:h|i:ɪ|n:n]
menus	ˈmenjuːz	ˈ[m:m|e:e].[n:n|u:juː|s:z]
menz	ˈmenz	ˈ[m:m|e:e|n:n|z:z]
menze	ˈmenz	ˈ[m:m|e:e|n:n|ze:z]
menzel	ˈmenzəl	ˈ[m:m|e:e|n:n].[ze:z|l:əl]
menzer	ˈmenzər	ˈ[m:m|e:e|n:n].[z:z|er:ər]
menzie	ˈmenziː	ˈ[m:m|e:e|n:n].[z:z|ie:iː]
menzies	ˈmenziːz	ˈ[m:m|e:e|n:n].[z:z|ie:iː|s:z]
menzione	menziːˈoʊniː	[m:m|e:e|n:n].[z:z|i:iː].ˈ[o:oʊ].[n:n|e:iː]
meo	ˈmiːoʊ	ˈ[m:m|e:iː].[o:oʊ]
meola	miːˈɑːlə	[m:m|e:iː].ˈ[o:ɑː].[l:l|a:ə]
meow	miːˈaʊ	[m:m|e:iː].ˈ[ow:aʊ]
mequon	ˈmekwən	ˈ[m:m|e:e].[qu:k|o:wə|n:n]
mer	ˈmer	ˈ[m:m|e:e|r:r]
merabank	ˈmerəˌbæŋk	ˈ[m:m|e:e].[r:r|a:ə].ˌ[b:b|a:æ|n:ŋ|k:k]
meranda	mərˈɑːndə	[m:m|er:ər].ˈ[a:ɑː|n:n].[d:d|a:ə]
meraz	ˈmerɑːz	ˈ[m:m|e:e].[r:r|a:ɑː|z:z]
merc	ˈmɜːrk	ˈ[m:m|er:ɜːr|c:k]
merc's	ˈmɜːrks	ˈ[m:m|er:ɜːr|c:k|'s:s]
mercadante	mərkɑːˈdɑːnˌtiː	[m:m|er:ər].[c:k|a:ɑː].ˈ[d:d|a:ɑː|n:n].ˌ[t:t|e:iː]
mercado	mərˈkɑːdoʊ	[m:m|er:ər].ˈ[c:k|a:ɑː].[d:d|o:oʊ]
mercantil	mərˈkæntɪl	[m:m|er:ər].ˈ[c:k|a:æ|n:n].[t:t|i:ɪ|l:l]
mercantile	ˈmɜːrkənˌtaɪl	ˈ[m:m|er:ɜːr].[c:k|a:ə|n:n].ˌ[t:t|i:aɪ|le:l]
mercantile's	ˈmɜːrkənˌtiːlz	ˈ[m:m|er:ɜːr].[c:k|a:ə|n:n].ˌ[t:t|i:iː|le:l|'s:z]
mercantilism	mərˈkæntəˌlɪzəm	[m:m|er:ər].ˈ[c:k|a:æ|n:n].[t:t|i:ə].ˌ[l:l|i:ɪ].[s:z|m:əm]
mercantilist	mərˈkæntəlɪst	[m:m|er:ər].ˈ[c:k|a:æ|n:n].[t:t|i:ə].[l:l|i:ɪ|s:s|t:t]
mercator	mərˈkeɪtər	[m:m|er:ər].ˈ[c:k|a:eɪ].[t:t|or:ər]
merce	ˈmɜːrs	ˈ[m:m|er:ɜːr|ce:s]
merced	ˈmɜːrst	ˈ[m:m|er:ɜːr|c:s|ed:t]
mercedes	mərˈseɪdiːz	[m:m|er:ər].ˈ[c:s|e:eɪ].[d:d|e:iː|s:z]
mercedes's	mərˈseɪdiːz	[m:m|er:ər].ˈ[c:s|e:eɪ].[d:d|es:iː|'s:z]
mercedeses	ˌmɜːrˈseɪˌdiːzɪz	ˌ[m:m|er:ɜːr].ˈ[c:s|e:eɪ].ˌ[d:d|e:iː].[s:z|e:ɪ|s:z]
mercenaries	ˈmɜːrsəˌneriːz	ˈ[m:m|er:ɜːr].[c:s|e:ə].ˌ[n:n|a:e].[r:r|ie:iː|s:z]
mercenary	ˈmɜːrsəˌneriː	ˈ[m:m|er:ɜːr].[c:s|e:ə].ˌ[n:n|a:e].[r:r|y:iː]
mercer	ˈmɜːrsər	ˈ[m:m|er:ɜːr].[c:s|er:ər]
merchandise	ˈmɜːrtʃənˌdaɪz	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n].ˌ[d:d|i:aɪ|se:z]
merchandiser	ˈmɜːrtʃənˌdaɪzər	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n].ˌ[d:d|i:aɪ].[s:z|er:ər]
merchandisers	ˈmɜːrtʃənˌdaɪzərz	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n].ˌ[d:d|i:aɪ].[s:z|er:ər|s:z]
merchandising	ˈmɜːrtʃənˌdaɪzɪŋ	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n].ˌ[d:d|i:aɪ].[s:z|i:ɪ|ng:ŋ]
merchant	ˈmɜːrtʃənt	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n|t:t]
merchant's	ˈmɜːrtʃənts	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n|t:t|'s:s]
merchantmen	ˈmɜːrtʃəntmɪn	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n|t:t].[m:m|e:ɪ|n:n]
merchants	ˈmɜːrtʃənts	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n|t:t|s:s]
merchants'	ˈmɜːrtʃənts	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n|t:t|s':s]
merchantsbank	ˈmɜːrtʃəntsˌbæŋk	ˈ[m:m|er:ɜːr].[ch:tʃ|a:ə|n:n|t:t|s:s].ˌ[b:b|a:æ|n:ŋ|k:k]
merci	mərˈsiː	[m:m|er:ər].ˈ[c:s|i:iː]
mercier	ˈmɜːrˌsiːər	ˈ[m:m|er:ɜːr].ˌ[c:s|i:iː].[er:ər]
mercies	ˈmɜːrˌsiːz	ˈ[m:m|er:ɜːr].ˌ[c:s|ie:iː|s:z]
merciful	ˈmɜːrsɪfəl	ˈ[m:m|er:ɜːr].[c:s|i:ɪ].[f:f|u:ə|l:l]
mercifully	ˈmɜːrsɪfəˌliː	ˈ[m:m|er:ɜːr].[c:s|i:ɪ].[f:f|u:ə].ˌ[ll:l|y:iː]
merciless	ˈmɜːrsələs	ˈ[m:m|er:ɜːr].[c:s|i:ə].[l:l|e:ə|ss:s]
mercilessly	ˈmɜːrsələsliː	ˈ[m:m|er:ɜːr].[c:s|i:ə].[l:l|e:ə].[ss:s|l:l|y:iː]
merck	ˈmɜːrk	ˈ[m:m|er:ɜːr|ck:k]
merck's	ˈmɜːrks	ˈ[m:m|er:ɜːr|ck:k|'s:s]
mercland	ˈmɜːrklænd	ˈ[m:m|er:ɜːr].[c:k|l:l|a:æ|n:n|d:d]
mercosur	ˈmɜːrˌkoʊˌsɜːr	ˈ[m:m|er:ɜːr].ˌ[c:k|o:oʊ].ˌ[s:s|ur:ɜːr]
mercure	mərˈkʊr	[m:m|er:ər].ˈ[c:k|u:ʊ|re:r]
mercuri	mərˈkʊriː	[m:m|er:ər].ˈ[c:k|u:ʊ].[r:r|i:iː]
mercurial	mərˈkjʊriːəl	[m:m|er:ər].ˈ[c:k|u:jʊ].[r:r|i:iː].[a:ə|l:l]
mercuric	mərˈkjʊrɪk	[m:m|er:ər].ˈ[c:k|u:jʊ].[r:r|i:ɪ|c:k]
mercurio	mərˈkʊriːˌoʊ	[m:m|er:ər].ˈ[c:k|u:ʊ].[r:r|i:iː].ˌ[o:oʊ]
mercury	ˈmɜːrkjəriː	ˈ[m:m|er:ɜːr].[c:kj|ur:ər].[y:iː]
mercury's	ˈmɜːrkjəriːz	ˈ[m:m|er:ɜːr].[c:kj|ur:ər].[y:iː|'s:z]
mercy	ˈmɜːrsiː	ˈ[m:m|er:ɜːr].[c:s|y:iː]
merdyce	ˈmɜːrdaɪs	ˈ[m:m|er:ɜːr].[d:d|y:aɪ|ce:s]
mere	ˈmɪr	ˈ[m:m|e:ɪ|re:r]
meredith	ˈmerɪdɪθ	ˈ[m:m|e:e].[r:r|e:ɪ].[d:d|i:ɪ|th:θ]
merely	ˈmɪrliː	ˈ[m:m|e:ɪ|re:r].[l:l|y:iː]
merenda	meˈreɪndɑː	[m:m|e:e].ˈ[r:r|e:eɪ|n:n].[d:d|a:ɑː]
merendino	mərenˈdiːˌnoʊ	[m:m|er:ər].[e:e|n:n].ˈ[d:d|i:iː].ˌ[n:n|o:oʊ]
merengue	mərˈeɪŋ	[m:m|er:ər].ˈ[e:eɪ|ngue:ŋ]
merest	ˈmerəst	ˈ[m:m|e:e].[r:r|e:ə|s:s|t:t]
meretz	ˈmerets	ˈ[m:m|e:e].[r:r|e:e|t:t|z:s]
merfeld	ˈmɜːrfeld	ˈ[m:m|er:ɜːr].[f:f|e:e|l:l|d:d]
merge	ˈmɜːrdʒ	ˈ[m:m|er:ɜːr|ge:dʒ]
merged	ˈmɜːrdʒd	ˈ[m:m|er:ɜːr|ge:dʒ|d:d]
mergen	ˈmɜːrɡən	ˈ[m:m|er:ɜːr].[g:ɡ|e:ə|n:n]
merger	ˈmɜːrdʒər	ˈ[m:m|er:ɜːr].[g:dʒ|er:ər]
merger's	ˈmɜːrdʒərz	ˈ[m:m|er:ɜːr].[g:dʒ|er:ər|'s:z]
mergers	ˈmɜːrdʒərz	ˈ[m:m|er:ɜːr].[g:dʒ|er:ər|s:z]
merges	ˈmɜːrdʒɪz	ˈ[m:m|er:ɜːr].[g:dʒ|e:ɪ|s:z]
merging	ˈmɜːrdʒɪŋ	ˈ[m:m|er:ɜːr].[g:dʒ|i:ɪ|ng:ŋ]
merhige	mərˈhiːdʒ	[m:m|er:ər].ˈ[h:h|i:iː|ge:dʒ]
meriam	ˈmɪriːɪm	ˈ[m:m|e:ɪ].[r:r|i:iː].[a:ɪ|m:m]
merica	ˈmerɪkə	ˈ[m:m|e:e].[r:r|i:ɪ].[c:k|a:ə]
mericantante	meˌriːkənˈtɑːnteɪ	[m:m|e:e].ˌ[r:r|i:iː].[c:k|a:ə|n:n].ˈ[t:t|a:ɑː|n:n].[t:t|e:eɪ]
mericle	ˈmerɪkəl	ˈ[m:m|e:e].[r:r|i:ɪ].[c:k|le:əl]
mericopa	ˌmerəˈkoʊpə	ˌ[m:m|e:e].[r:r|i:ə].ˈ[c:k|o:oʊ].[p:p|a:ə]
merida	mərˈiːdə	[m:m|er:ər].ˈ[i:iː].[d:d|a:ə]
meriden	ˈmerɪdən	ˈ[m:m|e:e].[r:r|i:ɪ].[d:d|e:ə|n:n]
merideth	ˈmerɪdɪθ	ˈ[m:m|e:e].[r:r|i:ɪ].[d:d|e:ɪ|th:θ]
meridian	mərˈɪdiːən	[m:m|er:ər].ˈ[i:ɪ].[d:d|i:iː].[a:ə|n:n]
meridian's	mərˈɪdiːənz	[m:m|er:ər].ˈ[i:ɪ].[d:d|i:iː].[a:ə|n:n|'s:z]
meridien	mərˈɪdiːən	[m:m|er:ər].ˈ[i:ɪ].[d:d|i:iː].[e:ə|n:n]
meridionale	mərˌɪdiːəˈnɑːliː	[m:m|er:ər].ˌ[i:ɪ].[d:d|i:iː].[o:ə].ˈ[n:n|a:ɑː].[l:l|e:iː]
meridith	ˈmerɪdɪθ	ˈ[m:m|e:e].[r:r|i:ɪ].[d:d|i:ɪ|th:θ]
meridor	ˈmerɪdɔːr	ˈ[m:m|e:e].[r:r|i:ɪ].[d:d|o:ɔː|r:r]
meriel	ˈmɪriːl	ˈ[m:m|e:ɪ].[r:r|ie:iː|l:l]
merieux	ˈmeriːˌuː	ˈ[m:m|e:e].[r:r|ie:iː].ˌ[ux:uː]
merillat	ˈmerɪlæt	ˈ[m:m|e:e].[r:r|i:ɪ].[ll:l|a:æ|t:t]
merino	mərˈiːnoʊ	[m:m|er:ər].ˈ[i:iː].[n:n|o:oʊ]
merion	ˈmeriːən	ˈ[m:m|e:e].[r:r|i:iː].[o:ə|n:n]
meris	ˈmerəs	ˈ[m:m|e:e].[r:r|i:ə|s:s]
merisel	ˈmerɪˌsel	ˈ[m:m|e:e].[r:r|i:ɪ].ˌ[s:s|e:e|l:l]
merit	ˈmerət	ˈ[m:m|e:e].[r:r|i:ə|t:t]
merited	ˈmerɪtɪd	ˈ[m:m|e:e].[r:r|i:ɪ].[t:t|e:ɪ|d:d]
merithew	mərˈɪθjuː	[m:m|er:ər].ˈ[i:ɪ].[the:θ|w:juː]
meriting	ˈmerətɪŋ	ˈ[m:m|e:e].[r:r|i:ə].[t:t|i:ɪ|ng:ŋ]
meritless	ˈmerɪtləs	ˈ[m:m|e:e].[r:r|i:ɪ|t:t].[l:l|e:ə|ss:s]
meritocracy	merɪˈtɔːkrəsiː	[m:m|e:e].[r:r|i:ɪ].ˈ[t:t|o:ɔː].[c:k|r:r|a:ə].[c:s|y:iː]
meritor	ˈmerətər	ˈ[m:m|e:e].[r:r|i:ə].[t:t|or:ər]
meritorious	ˌmerəˈtɔːriːəs	ˌ[m:m|e:e].[r:r|i:ə].ˈ[t:t|o:ɔː].[r:r|i:iː].[ou:ə|s:s]
merits	ˈmerəts	ˈ[m:m|e:e].[r:r|i:ə|t:t|s:s]
meritt	ˈmerɪt	ˈ[m:m|e:e].[r:r|i:ɪ|tt:t]
meriweather	ˈmerɪˌweðər	ˈ[m:m|e:e].[r:r|i:ɪ].ˌ[w:w|ea:e].[th:ð|er:ər]
meriwether	ˈmerɪˌweðər	ˈ[m:m|e:e].[r:r|i:ɪ].ˌ[w:w|e:e].[th:ð|er:ər]
merk	ˈmɜːrk	ˈ[m:m|er:ɜːr|k:k]
merkel	ˈmɜːrkəl	ˈ[m:m|er:ɜːr].[k:k|e:ə|l:l]
merker	ˈmɜːrkər	ˈ[m:m|er:ɜːr].[k:k|er:ər]
merkey	ˈmɜːrkiː	ˈ[m:m|er:ɜːr].[k:k|ey:iː]
merkich	ˈmɜːrkɪtʃ	ˈ[m:m|er:ɜːr].[k:k|i:ɪ|ch:tʃ]
merkin	ˈmɜːrkɪn	ˈ[m:m|er:ɜːr].[k:k|i:ɪ|n:n]
merklan	ˈmɜːrklən	ˈ[m:m|er:ɜːr].[k:k|l:l|a:ə|n:n]
merkle	ˈmɜːrkəl	ˈ[m:m|er:ɜːr].[k:k|le:əl]
merkley	ˈmɜːrkliː	ˈ[m:m|er:ɜːr].[k:k|l:l|ey:iː]
merklin	ˈmɜːrklɪn	ˈ[m:m|er:ɜːr].[k:k|l:l|i:ɪ|n:n]
merksamer	ˈmɜːrksəmər	ˈ[m:m|er:ɜːr|k:k].[s:s|a:ə].[m:m|er:ər]
merkt	ˈmɜːrkt	ˈ[m:m|er:ɜːr|k:k|t:t]
merkur	ˈmɜːrkər	ˈ[m:m|er:ɜːr].[k:k|ur:ər]
merl	ˈmɜːrl	ˈ[m:m|er:ɜːr|l:l]
merle	ˈmɜːrl	ˈ[m:m|er:ɜːr|le:l]
merletti	mərˈletiː	[m:m|er:ər].ˈ[l:l|e:e].[tt:t|i:iː]
merlin	ˈmɜːrlɪn	ˈ[m:m|er:ɜːr].[l:l|i:ɪ|n:n]
merlina	mərˈliːnə	[m:m|er:ər].ˈ[l:l|i:iː].[n:n|a:ə]
merline	ˈmɜːrlaɪn	ˈ[m:m|er:ɜːr].[l:l|i:aɪ|ne:n]
merlino	mərˈliːnoʊ	[m:m|er:ər].ˈ[l:l|i:iː].[n:n|o:oʊ]
merlins	ˈmɜːrlɪnz	ˈ[m:m|er:ɜːr].[l:l|i:ɪ|n:n|s:z]
merlis	ˈmɜːrliːz	ˈ[m:m|er:ɜːr].[l:l|i:iː|s:z]
merlo	ˈmerloʊ	ˈ[m:m|e:e|r:r].[l:l|o:oʊ]
merlot	ˈmɜːrlət	ˈ[m:m|er:ɜːr].[l:l|o:ə|t:t]
merlots	ˈmɜːrləts	ˈ[m:m|er:ɜːr].[l:l|o:ə|t:t|s:s]
mermaid	ˈmɜːrˌmeɪd	ˈ[m:m|er:ɜːr].ˌ[m:m|ai:eɪ|d:d]
mermaids	ˈmɜːrˌmeɪdz	ˈ[m:m|er:ɜːr].ˌ[m:m|ai:eɪ|d:d|s:z]
merman	ˈmɜːrˌmæn	ˈ[m:m|er:ɜːr].ˌ[m:m|a:æ|n:n]
mermelstein	ˈmɜːrməlstaɪn	ˈ[m:m|er:ɜːr].[m:m|e:ə|l:l].[s:s|t:t|ei:aɪ|n:n]
merna	ˈmernə	ˈ[m:m|e:e|r:r].[n:n|a:ə]
merner	ˈmɜːrnər	ˈ[m:m|er:ɜːr].[n:n|er:ər]
mernick	ˈmɜːrnɪk	ˈ[m:m|er:ɜːr].[n:n|i:ɪ|ck:k]
mero	ˈmeroʊ	ˈ[m:m|e:e].[r:r|o:oʊ]
merola	mərˈoʊlə	[m:m|er:ər].ˈ[o:oʊ].[l:l|a:ə]
merolla	mərˈoʊlə	[m:m|er:ər].ˈ[o:oʊ].[ll:l|a:ə]
meroney	ˈmerəniː	ˈ[m:m|e:e].[r:r|o:ə].[n:n|ey:iː]
merow	ˈmeroʊ	ˈ[m:m|e:e].[r:r|ow:oʊ]
merrell	ˈmerəl	ˈ[m:m|e:e].[rr:r|e:ə|ll:l]
merrett	ˈmerɪt	ˈ[m:m|e:e].[rr:r|e:ɪ|tt:t]
merriam	ˈmeriːəm	ˈ[m:m|e:e].[rr:r|i:iː].[a:ə|m:m]
merrick	ˈmerɪk	ˈ[m:m|e:e].[rr:r|i:ɪ|ck:k]
merricks	ˈmerɪks	ˈ[m:m|e:e].[rr:r|i:ɪ|ck:k|s:s]
merrie	ˈmeriː	ˈ[m:m|e:e].[rr:r|ie:iː]
merrier	ˈmeriːər	ˈ[m:m|e:e].[rr:r|i:iː].[er:ər]
merrifield	ˈmerɪˌfiːld	ˈ[m:m|e:e].[rr:r|i:ɪ].ˌ[f:f|ie:iː|l:l|d:d]
merrigan	ˈmerɪɡən	ˈ[m:m|e:e].[rr:r|i:ɪ].[g:ɡ|a:ə|n:n]
merrihew	mərˈɪhjuː	[m:m|er:ər].ˈ[ri:ɪ].[he:h|w:juː]
merrill	ˈmerəl	ˈ[m:m|e:e].[rr:r|i:ə|ll:l]
merrill's	ˈmerəlz	ˈ[m:m|e:e].[rr:r|i:ə|ll:l|'s:z]
merrily	ˈmerəliː	ˈ[m:m|e:e].[rr:r|i:ə].[l:l|y:iː]
merrimac	ˈmerɪmæk	ˈ[m:m|e:e].[rr:r|i:ɪ].[m:m|a:æ|c:k]
merrimack	ˈmerɪˌmæk	ˈ[m:m|e:e].[rr:r|i:ɪ].ˌ[m:m|a:æ|ck:k]
merriman	ˈmerɪmən	ˈ[m:m|e:e].[rr:r|i:ɪ].[m:m|a:ə|n:n]
merrin	ˈmerɪn	ˈ[m:m|e:e].[rr:r|i:ɪ|n:n]
merriott	ˈmeriːət	ˈ[m:m|e:e].[rr:r|i:iː].[o:ə|tt:t]
merrit	ˈmerɪt	ˈ[m:m|e:e].[rr:r|i:ɪ|t:t]
merritt	ˈmerɪt	ˈ[m:m|e:e].[rr:r|i:ɪ|tt:t]
merritts	ˈmerɪts	ˈ[m:m|e:e].[rr:r|i:ɪ|tt:t|s:s]
merriweather	merɪˈweðər	[m:m|e:e].[rr:r|i:ɪ].ˈ[w:w|ea:e].[th:ð|er:ər]
merriwether	ˈmerɪweðər	ˈ[m:m|e:e].[rr:r|i:ɪ].[w:w|e:e].[th:ð|er:ər]
merrow	ˈmeroʊ	ˈ[m:m|e:e].[rr:r|ow:oʊ]
merry	ˈmeriː	ˈ[m:m|e:e].[rr:r|y:iː]
merry-go-round	ˈmeriːɡoʊˌraʊnd	ˈ[m:m|e:e].[rr:r|y-:iː].[g:ɡ|o-:oʊ].ˌ[r:r|ou:aʊ|n:n|d:d]
merryfield	ˈmeriːˌfiːld	ˈ[m:m|e:e].[rr:r|y:iː].ˌ[f:f|ie:iː|l:l|d:d]
merryman	ˈmeriːmən	ˈ[m:m|e:e].[rr:r|y:iː].[m:m|a:ə|n:n]
mers	ˈmɜːrz	ˈ[m:m|er:ɜːr|s:z]
mersch	ˈmɜːrʃ	ˈ[m:m|ers:ɜːr|ch:ʃ]
mersereau	ˈmɜːrsəroʊ	ˈ[m:m|er:ɜːr].[s:s|ere:ər].[au:oʊ]
mershon	ˈmɜːrʃən	ˈ[m:m|er:ɜːr].[sh:ʃ|o:ə|n:n]
mersman	ˈmɜːrsmən	ˈ[m:m|er:ɜːr].[s:s|m:m|a:ə|n:n]
merson	ˈmɜːrsən	ˈ[m:m|er:ɜːr].[s:s|o:ə|n:n]
merta	ˈmertə	ˈ[m:m|e:e|r:r].[t:t|a:ə]
merten	ˈmɜːrtən	ˈ[m:m|er:ɜːr].[t:t|e:ə|n:n]
mertens	ˈmɜːrtənz	ˈ[m:m|er:ɜːr].[t:t|e:ə|n:n|s:z]
mertes	ˈmertes	ˈ[m:m|e:e|r:r].[t:t|e:e|s:s]
mertice	ˈmertɪs	ˈ[m:m|e:e|r:r].[t:t|i:ɪ|ce:s]
mertins	ˈmɜːrtɪnz	ˈ[m:m|er:ɜːr].[t:t|i:ɪ|n:n|s:z]
mertle	ˈmɜːrtəl	ˈ[m:m|er:ɜːr].[t:t|le:əl]
merton	ˈmɜːrtən	ˈ[m:m|er:ɜːr].[t:t|o:ə|n:n]
mertz	ˈmɜːrts	ˈ[m:m|er:ɜːr|t:t|z:s]
merv	ˈmɜːrv	ˈ[m:m|er:ɜːr|v:v]
mervin	ˈmɜːrvɪn	ˈ[m:m|er:ɜːr].[v:v|i:ɪ|n:n]
mervine	ˈmɜːrvaɪn	ˈ[m:m|er:ɜːr].[v:v|i:aɪ|ne:n]
mervis	ˈmɜːrvɪs	ˈ[m:m|er:ɜːr].[v:v|i:ɪ|s:s]
mervyn	ˈmɜːrvɪn	ˈ[m:m|er:ɜːr].[v:v|y:ɪ|n:n]
mervyn's	ˈmɜːrvɪnz	ˈ[m:m|er:ɜːr].[v:v|y:ɪ|n:n|'s:z]
merwe	ˈmɜːrwiː	ˈ[m:m|er:ɜːr].[w:w|e:iː]
merwin	ˈmɜːrwɪn	ˈ[m:m|er:ɜːr].[w:w|i:ɪ|n:n]
merwyn	ˈmɜːrwɪn	ˈ[m:m|er:ɜːr].[w:w|y:ɪ|n:n]
meryl	ˈmerəl	ˈ[m:m|e:e].[r:r|y:ə|l:l]
meryll	ˈmerəl	ˈ[m:m|e:e].[r:r|y:ə|ll:l]
merz	ˈmɜːrz	ˈ[m:m|er:ɜːr|z:z]
mesa	ˈmeɪsə	ˈ[m:m|e:eɪ].[s:s|a:ə]
mesa's	ˈmeɪsəz	ˈ[m:m|e:eɪ].[s:s|a:ə|'s:z]
mesaba	meˈsɑːbə	[m:m|e:e].ˈ[s:s|a:ɑː].[b:b|a:ə]
